Symbol,Description,GICS Sector
A,Agilent Technologies Inc,Health Care
AAL,American Airlines Group Inc,Industrials
AAP,Advance Auto Parts Inc,Consumer Discretionary
AAPL,Apple Inc,Information Technology
ABBV,Abbvie Inc,Health Care
ABC,AmerisourceBergen Corp,Health Care
ABMD,Abiomed Inc,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture Plc Class A,Information Technology
ADBE,Adobe Inc,Information Technology
ADI,Analog Devices Inc,Information Technology
ADM,Archer-Daniels-Midland Company,Consumer Staples
ADP,Automatic Data Processing Inc,Information Technology
ADSK,Autodesk Inc,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power Inc,Utilities
AES,AES Corp,Utilities
AFL,Aflac Inc,Financials
AIG,American International Group Inc,Financials
AIZ,Assurant Inc,Financials
AJG,Arthur J Gallagher,Financials
AKAM,Akamai Technologies Inc,Information Technology
ALB,Albemarle Corp,Materials
ALGN,Align Technology Inc,Health Care
ALK,Alaska Air Group Inc,Industrials
ALL,Allstate Corp,Financials
ALLE,Allegion PLC,Industrials
AMAT,Applied Material Inc,Information Technology
AMCR,Amcor plc,Materials
AMD,Advanced Micro Devices Inc,Information Technology
AME,Ametek Inc,Industrials
AMGN,Amgen Inc,Health Care
AMP,Ameriprise Finance Inc,Financials
AMT,American Tower Corporation,Real Estate
AMZN,Amazon.Com Inc.,Consumer Discretionary
ANET,Arista Networks Inc,Information Technology
ANSS,Ansys Inc,Information Technology
ANTM,Anthem Inc,Health Care
AON,Aon Plc,Financials
AOS,A O Smith Corp,Industrials
APA,Apache Corp,Energy
APD,Air Products And Chemicals Inc,Materials
APH,Amphenol Corp,Information Technology
APTV,Aptiv Plc,Consumer Discretionary
ARE,"Alexandria Real Estate Equities, Inc",Real Estate
ATO,Atmos Energy Corp,Utilities
ATVI,Activision Blizzard Inc,Communication Services
AVB,"AvalonBay Communities, Inc",Real Estate
AVGO,Broadcom Inc.,Information Technology
AVY,Avery Dennison Corp,Materials
AWK,American Water Works Inc,Utilities
AXP,American Express,Financials
AZO,Autozone Inc,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc,Health Care
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
BBY,Best Buy Inc,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources Inc,Financials
BF-B,Brown Forman Inc Class B,Consumer Staples
BIIB,Biogen Inc,Health Care
BIO,Bio Rad Laboratories Inc Class A,Health Care
BK,Bank Of New York Mellon Corp,Financials
BKNG,Booking Holdings Inc,Consumer Discretionary
BKR,Baker Hughes Company Class A,Energy
BLK,Blackrock Inc,Financials
BLL,Ball Corp,Materials
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions Inc,Information Technology
BRK-B,Berkshire Hathaway Inc. Class B,Financials
BRO,Brown & Brown Inc,Financials
BSX,Boston Scientific Corp,Health Care
BWA,BorgWarner Inc,Consumer Discretionary
BXP,"Boston Properties, Inc",Real Estate
C,Citigroup Inc,Financials
CAG,Conagra Brands Inc,Consumer Staples
CAH,Cardinal Health Inc,Health Care
CARR,Carrier Global Corporation,Industrials
CAT,Caterpillar Inc,Industrials
CB,Chubb Ltd,Financials
CBOE,"Cboe Global Markets, Inc.",Financials
CBRE,CBRE Group Inc,Real Estate
CCI,Crown Castle International Corp.,Real Estate
CCL,Carnival Corp,Consumer Discretionary
CDAY,Ceridian HCM Holding Inc.,Information Technology
CDNS,Cadence Design Systems Inc,Information technology
CDW,CDW Corp,Information Technology
CE,Celanese Corporation,Materials
CEG,Constellation Energy Corporation,Utilities
CERN,Cerner Corp,Health Care
CF,CF Industries Holdings Inc,Materials
CFG,Citizens Financial Group Inc,Financials
CHD,Church And Dwight Inc,Consumer Staples
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
CHTR,Charter Communications Inc Class A,Communication Services
CI,Cigna Corp,Health Care
CINF,Cincinnati Financial Corp,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMA,Comerica Inc,Financials
CMCSA,Comcast A Corp,Communication Services
CME,CME Group Inc Class A,Financials
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary
